filename,timestamp,sentence
1.srt,00:09:01.409 --> 00:09:04.669,lot of this kind of spontaneous communication is required
1.srt,00:15:56.799 --> 00:16:01.469,Second language acquisition also there is some application of speech kind of things
1.srt,00:16:01.469 --> 00:16:12.019,"So, even if speech research, I will told that ASR, lot of people are doing research in ASR, automatic speech recognition"
1.srt,00:16:55.169 --> 00:17:03.549,"So, those kind of lot of speech applications are you can say the thing about in your mind and you have to develop some expertise or some skill on speech itself"
1.srt,00:26:55.209 --> 00:27:07.999,"Here, I want a machine which can convert that the signal which is coming here or acoustic wave to understanding of the speaker's message."
