filename,timestamp,sentence
1.srt,00:04:55.600 --> 00:05:04.589,"That is not that much of skill oriented things, but yes you should know what is the how the speech is produced and how the speech is perceived"
16.srt,00:00:23.829 --> 00:00:27.460,"So, this class I will may be it is required two lectures"
16.srt,00:01:42.819 --> 00:01:56.859,"On the other hand, if I say if I produce a speech and a human listener perceive the speech, how human listener process the speech to perceive it is very important to know"
16.srt,00:02:04.139 --> 00:02:09.120,"So, we want to know what kind of speech processing happen in our brain"
16.srt,00:03:18.389 --> 00:03:20.729,"So, that we want to know that is the speech perception"
16.srt,00:03:18.389 --> 00:03:20.729,"So, if you see the auditory systems, we perceive the speech through the auditory systems of the human being"
